
 Dialogue Num: 0 ||| Ground Truth [0], Predicted Label 1, Attention Words: <PAD> am to | am looking for a place to to stay that has cheap price range it should be in a type of hotel                      

 Dialogue Num: 213 ||| Ground Truth [2 4], Predicted Label 1, Attention Words: ##li ##b <PAD> | im going to steven ##age on wednesday day will you be leaving today ##jm ##b ##k ##li centre ##7                      

 Dialogue Num: 213 ||| Ground Truth [2 4], Predicted Label 0, Attention Words: ##li <PAD> <PAD> | what time would you like to arrive by will you be leaving today ##jm ##b ##k ##li centre ##7                      

 Dialogue Num: 213 ||| Ground Truth [2 4], Predicted Label 0, Attention Words: ##b <PAD> <PAD> | i need to leave after 143 ##0 please will you be leaving today ##jm ##b ##k ##li centre ##7                      

 Dialogue Num: 213 ||| Ground Truth [2 4], Predicted Label 6, Attention Words: <PAD> ##7 <PAD> | okay the tr ##7 ##24 ##5 leaves at 152 ##1 would you like me to book it for you centre ##7                      

 Dialogue Num: 213 ||| Ground Truth [2 4], Predicted Label 7, Attention Words: <PAD> <PAD> <PAD> | what is the travel time and how much will it co ##se me to book it for you centre ##7                      

 Dialogue Num: 213 ||| Ground Truth [2 4], Predicted Label 6, Attention Words: <PAD> ##7 the | travel time is 49 minutes and the price is 128 ##0 would you like me to book passage for you centre ##7                      

 Dialogue Num: 213 ||| Ground Truth [2 4], Predicted Label 7, Attention Words: 128 <PAD> <PAD> | no thanks not necessary thanks though goodbye is 128 ##0 would you like me to book passage for you centre ##7                      

 Dialogue Num: 214 ||| Ground Truth [0], Predicted Label 2, Attention Words: <PAD> 128 <PAD> | i would like a four star hotel is 128 ##0 would you like me to book passage for you centre ##7                      

 Dialogue Num: 214 ||| Ground Truth [0], Predicted Label 7, Attention Words: <PAD> <PAD> ##7 | i can help you with that is there a particular part of town you would like to stay in centre ##7                      

 Dialogue Num: 214 ||| Ground Truth [0], Predicted Label 7, Attention Words: <PAD> <PAD> <PAD> | no but i need it to have free parking and cheap town you would like to stay in centre ##7                      

 Dialogue Num: 214 ||| Ground Truth [0], Predicted Label 4, Attention Words: and others breakfast | there are several like that would you like to book a room at rosa ##s bed and breakfast or perhaps one of the others                      

 Dialogue Num: 214 ||| Ground Truth [0], Predicted Label 4, Attention Words: and <PAD> or | im looking for a hotel type place to stay are any of those hotels bed and breakfast or perhaps one of the others                      

 Dialogue Num: 214 ||| Ground Truth [0], Predicted Label 4, Attention Words: me it the | the cambridge bel ##fr ##y is a four star hotel in the cheap price range would you like me to book it for you                      

 Dialogue Num: 214 ||| Ground Truth [0], Predicted Label 2, Attention Words: to reference ##y | cambridge bel ##fr ##y sounds great can i get the reference number once you make that reservation me to book it for you                      

 Dialogue Num: 214 ||| Ground Truth [0], Predicted Label 1, Attention Words: to how <PAD> | what day do you want to start your stay for how many days and how many people me to book it for you                      

 Dialogue Num: 214 ||| Ground Truth [0], Predicted Label 4, Attention Words: book one range | 4 people 5 nights on saturday if that ##s not available try a different one same price range to book it for you                      

 Dialogue Num: 214 ||| Ground Truth [0], Predicted Label 2, Attention Words: to it <PAD> | i am sorry i could not make that booking would you like to try another hotel range to book it for you                      

 Dialogue Num: 214 ||| Ground Truth [0], Predicted Label 7, Attention Words: like book for | yes one that is in the same price range you like to try another hotel range to book it for you                      

 Dialogue Num: 214 ||| Ground Truth [0], Predicted Label 4, Attention Words: house it that | autumn house is a cheap guest house in the east would you like me to book that for you book it for you                      

 Dialogue Num: 214 ||| Ground Truth [0], Predicted Label 2, Attention Words: for you <PAD> | yes that sounds great please try to book it would you like me to book that for you book it for you                      

 Dialogue Num: 214 ||| Ground Truth [0], Predicted Label 1, Attention Words: for book <PAD> | that one was successful your reference number is re ##z ##4 ##br ##01 to book that for you book it for you                      

 Dialogue Num: 214 ||| Ground Truth [0], Predicted Label 2, Attention Words: you that ##4 | thank you that ##s all i needed today ##z ##4 ##br ##01 to book that for you book it for you                      

 Dialogue Num: 215 ||| Ground Truth [2], Predicted Label 0, Attention Words: for for street | i am looking for a train that leaves sunday and heading to london liverpool street that for you book it for you                      

 Dialogue Num: 215 ||| Ground Truth [2 5], Predicted Label 0, Attention Words: you for you | wonderful i can help you what time on sunday would you like to depart that for you book it for you                      

 Dialogue Num: 215 ||| Ground Truth [2], Predicted Label 0, Attention Words: <PAD> for you | depart time does not matter but i need it to arrive at 1800 that for you book it for you                      

 Dialogue Num: 215 ||| Ground Truth [2 5], Predicted Label 6, Attention Words: you it for | the tr ##21 ##41 arrives by 152 ##7 would you like me to reserve some seats for you book it for you                      

 Dialogue Num: 215 ||| Ground Truth [2], Predicted Label 6, Attention Words: you 152 for | yes for one please by 152 ##7 would you like me to reserve some seats for you book it for you                      

 Dialogue Num: 215 ||| Ground Truth [2 5], Predicted Label 4, Attention Words: is reference ##8 | okay your ##e all set the fee is 132 ##8 gb ##p and your reference number is n ##n ##0 ##dd ##v ##k ##4                      

 Dialogue Num: 215 ||| Ground Truth [2 5], Predicted Label 3, Attention Words: as ##0 ##i | excellent i also am looking for a restaurant as well its called the sit ##ar tan ##door ##i ##0 ##dd ##v ##k ##4                      

 Dialogue Num: 215 ||| Ground Truth [2 5], Predicted Label 4, Attention Words: ##i west restaurants | i found 4 restaurants with the name tan ##door ##i that serve indian food on the south west and east do you have a                      

 Dialogue Num: 215 ||| Ground Truth [2 5], Predicted Label 5, Attention Words: serve tan the | no any location is fine name tan ##door ##i that serve indian food on the south west and east do you have a                      

 Dialogue Num: 215 ||| Ground Truth [2 5], Predicted Label 1, Attention Words: and i do | okay one moment while i make your reservation at tan ##door ##i on the east side west and east do you have a                      

 Dialogue Num: 215 ||| Ground Truth [2 5], Predicted Label 5, Attention Words: for have day | please make sure you reserve my table for 133 ##0 on the same day and ill need a reference number you have a                      

 Dialogue Num: 215 ||| Ground Truth [2 5], Predicted Label 3, Attention Words: 130 for a | i apologize there are no openings available for sunday at 130 same day and ill need a reference number you have a                      

 Dialogue Num: 215 ||| Ground Truth [2 5], Predicted Label 3, Attention Words: <PAD> 130 and | no problem can you please try 123 ##0 at 130 same day and ill need a reference number you have a                      

 Dialogue Num: 215 ||| Ground Truth [2 5], Predicted Label 3, Attention Words: has a a | your table has been reserved is there anything else i can help you with today need a reference number you have a                      

 Dialogue Num: 215 ||| Ground Truth [2 5], Predicted Label 7, Attention Words: else reference <PAD> | can i have the reference number anything else i can help you with today need a reference number you have a                      

 Dialogue Num: 215 ||| Ground Truth [2 5], Predicted Label 5, Attention Words: a your reference | of course your reference number is w ##x ##66 ##0 ##x ##0 ##m can i help you with anything else today have a                      

 Dialogue Num: 215 ||| Ground Truth [2 5], Predicted Label 3, Attention Words: <PAD> ##66 <PAD> | no that ##s all thank you ##x ##66 ##0 ##x ##0 ##m can i help you with anything else today have a                      

 Dialogue Num: 216 ||| Ground Truth [0], Predicted Label 7, Attention Words: you <PAD> can | can you help me find a place in the north where i can stay help you with anything else today have a                      

 Dialogue Num: 216 ||| Ground Truth [0 5], Predicted Label 2, Attention Words: anything <PAD> <PAD> | sure i have 5 guest houses all in the moderate price range when is your stay with anything else today have a                      

 Dialogue Num: 216 ||| Ground Truth [0], Predicted Label 7, Attention Words: else <PAD> range | do any of them have a four star rating price range when is your stay with anything else today have a                      

 Dialogue Num: 216 ||| Ground Truth [0 5], Predicted Label 2, Attention Words: your <PAD> else | yes actually they all have 4 star ratings do you need parking is your stay with anything else today have a                      

 Dialogue Num: 216 ||| Ground Truth [0], Predicted Label 7, Attention Words: today is stay | yes id like to book one that offers parking please parking is your stay with anything else today have a                      

 Dialogue Num: 216 ||| Ground Truth [0 5], Predicted Label 4, Attention Words: and staying will | kirk ##wood house is a lovely place i would recommend what day will you be checking in how long will you be staying and                      

 Dialogue Num: 216 ||| Ground Truth [0], Predicted Label 1, Attention Words: be <PAD> house | i actually just need information on the kirk ##wood house what is the post ##code and phone number please you be staying and                      

 Dialogue Num: 216 ||| Ground Truth [0 5], Predicted Label 2, Attention Words: staying post the | okay the post ##code is cb ##41 ##da and the phone number is 01 ##22 ##33 ##0 ##6 ##28 ##3 be staying and                      

 Dialogue Num: 216 ||| Ground Truth [0 5], Predicted Label 3, Attention Words: 01 to and | i am also looking for a restaurant to book for friday is 01 ##22 ##33 ##0 ##6 ##28 ##3 be staying and                      

 Dialogue Num: 216 ||| Ground Truth [0 5], Predicted Label 3, Attention Words: ##3 and i | i have 5 different restaurants i can give you some information for they are all pretty good ##28 ##3 be staying and                      

 Dialogue Num: 216 ||| Ground Truth [0 5], Predicted Label 7, Attention Words: you indian be | i am looking to eat indian give you some information for they are all pretty good ##28 ##3 be staying and                      

 Dialogue Num: 216 ||| Ground Truth [0 5], Predicted Label 4, Attention Words: more 22 five | there are more than five restaurants in cambridge lo ##l disregard my last statement there are 22 indian restaurants any preference on price or                      

 Dialogue Num: 216 ||| Ground Truth [0 5], Predicted Label 2, Attention Words: preference statement well | i would like it to be in the north as well last statement there are 22 indian restaurants any preference on price or                      

 Dialogue Num: 216 ||| Ground Truth [0 5], Predicted Label 4, Attention Words: are north how | how about the royal spice restaurant or the ni ##ral ##a which both are located in the north any preference on price or                      

 Dialogue Num: 216 ||| Ground Truth [0 5], Predicted Label 7, Attention Words: a please 1845 | royal spice sounds great can you make a reservation for 3 at 1845 on friday please north any preference on price or                      

 Dialogue Num: 216 ||| Ground Truth [0 5], Predicted Label 4, Attention Words: is ##rg <PAD> | the restaurant will hold your table for 15 minutes after your reservation time your reference number is 2 ##nu ##a ##9 ##rg ##d is                      

 Dialogue Num: 216 ||| Ground Truth [0 5], Predicted Label 4, Attention Words: 15 your that | that ##s all thank you for 15 minutes after your reservation time your reference number is 2 ##nu ##a ##9 ##rg ##d is                      

 Dialogue Num: 217 ||| Ground Truth [0], Predicted Label 2, Attention Words: reference parking near | i am looking for a cheap hotel with free parking near cambridge your reference number is 2 ##nu ##a ##9 ##rg ##d is                      

 Dialogue Num: 217 ||| Ground Truth [0 3 5], Predicted Label 2, Attention Words: ##9 what parking | i have multiple cheap hotels with free parking what part of town are you interested in staying in ##a ##9 ##rg ##d is                      

 Dialogue Num: 217 ||| Ground Truth [0], Predicted Label 2, Attention Words: ##a ##rg hotel | id like to stay close to the center area but the hotel should be 3 star in ##a ##9 ##rg ##d is                      

 Dialogue Num: 217 ||| Ground Truth [0 3 5], Predicted Label 2, Attention Words: ##rg ##9 ##a | we do not have any hotels that match your search do you want to try something else ##a ##9 ##rg ##d is                      

 Dialogue Num: 217 ||| Ground Truth [0], Predicted Label 7, Attention Words: ##d want ##rg | are there any moderate 3 star hotels with free parking you want to try something else ##a ##9 ##rg ##d is                      

 Dialogue Num: 217 ||| Ground Truth [0 3 5], Predicted Label 2, Attention Words: ##rg ##9 else | we do not have any hotels that match your search do you want to try something else ##a ##9 ##rg ##d is                      

 Dialogue Num: 217 ||| Ground Truth [0], Predicted Label 2, Attention Words: ##rg ##d do | how about one in the moderate price range search do you want to try something else ##a ##9 ##rg ##d is                      

 Dialogue Num: 217 ||| Ground Truth [0 3 5], Predicted Label 2, Attention Words: ##a ##d ##rg | we have 3 entries that match your preferences would you prefer north south or west else ##a ##9 ##rg ##d is                      

 Dialogue Num: 217 ||| Ground Truth [0 5], Predicted Label 3, Attention Words: called <PAD> is | i don ##t have a preference but i would also like ot find a restaurant called the cow pizza kitchen and bar is                      

 Dialogue Num: 217 ||| Ground Truth [0 3 5], Predicted Label 4, Attention Words: before i like | before i book your restaurant would you like to book your lodging i think you will like hamilton lodge it meets your needs                      

 Dialogue Num: 217 ||| Ground Truth [0 5], Predicted Label 2, Attention Words: <PAD> you it | does it have internet would you like to book your lodging i think you will like hamilton lodge it meets your needs                      

 Dialogue Num: 217 ||| Ground Truth [0 3 5], Predicted Label 2, Attention Words: to <PAD> it | yes the hamilton lodge has internet like to book your lodging i think you will like hamilton lodge it meets your needs                      

 Dialogue Num: 217 ||| Ground Truth [0 5], Predicted Label 2, Attention Words: lodging <PAD> meets | sounds great what is the address and contact information your lodging i think you will like hamilton lodge it meets your needs                      

 Dialogue Num: 217 ||| Ground Truth [0 3 5], Predicted Label 4, Attention Words: located post hamilton | hamilton lodge is located at 156 chester ##ton road post ##code cb ##41 ##da their phone is 01 ##22 ##33 ##65 ##66 ##4 would                      

 Dialogue Num: 217 ||| Ground Truth [0 5], Predicted Label 4, Attention Words: me i thank | that ##s not necessary thank you you could however find me a restaurant a friend mentioned i think it was called the cow pizza                      

 Dialogue Num: 217 ||| Ground Truth [0 3 5], Predicted Label 4, Attention Words: centre the like | the cow pizza kitchen and bar is a moderately priced gas ##tro ##pu ##b in the centre of town would you like a reservation                      

 Dialogue Num: 217 ||| Ground Truth [0 5], Predicted Label 0, Attention Words: <PAD> the address | may i have the address for the cow pizza kitchen and bar please in the centre of town would you like a reservation                      

 Dialogue Num: 217 ||| Ground Truth [0 3 5], Predicted Label 3, Attention Words: of <PAD> can | the address is corn exchange street is there anything else i can help you with centre of town would you like a reservation                      

 Dialogue Num: 217 ||| Ground Truth [0 3 5], Predicted Label 4, Attention Words: hotel ##5 <PAD> | i would like a taxi for the hotel by 134 ##5 to get to the restaurant please town would you like a reservation                      

 Dialogue Num: 217 ||| Ground Truth [0 3 5], Predicted Label 4, Attention Words: lodge ##9 hamilton | i have booked a taxi to arrive at the hamilton lodge by 134 ##5 the contact number is 07 ##21 ##41 ##10 ##59 ##9                      

 Dialogue Num: 217 ||| Ground Truth [0 3 5], Predicted Label 4, Attention Words: taxi <PAD> by | what is the car type for the taxi hamilton lodge by 134 ##5 the contact number is 07 ##21 ##41 ##10 ##59 ##9                      

 Dialogue Num: 217 ||| Ground Truth [0 3 5], Predicted Label 5, Attention Words: by hamilton <PAD> | the taxi is a red audi taxi hamilton lodge by 134 ##5 the contact number is 07 ##21 ##41 ##10 ##59 ##9                      

 Dialogue Num: 217 ||| Ground Truth [0 3 5], Predicted Label 4, Attention Words: <PAD> <PAD> ##9 | thank you that will be all i need hamilton lodge by 134 ##5 the contact number is 07 ##21 ##41 ##10 ##59 ##9                      

 Dialogue Num: 218 ||| Ground Truth [2], Predicted Label 6, Attention Words: is that 07 | im looking for a train that arrives by 101 ##5 and depart ##s from ely number is 07 ##21 ##41 ##10 ##59 ##9                      

 Dialogue Num: 218 ||| Ground Truth [2 4], Predicted Label 0, Attention Words: 07 depart ##9 | no problem what day would you like to leave and depart ##s from ely number is 07 ##21 ##41 ##10 ##59 ##9                      

 Dialogue Num: 218 ||| Ground Truth [2], Predicted Label 2, Attention Words: ##21 ##s to | tuesday going to cambridge please like to leave and depart ##s from ely number is 07 ##21 ##41 ##10 ##59 ##9                      

 Dialogue Num: 218 ||| Ground Truth [2 4], Predicted Label 6, Attention Words: ##21 to ##s | any departure time in mind like to leave and depart ##s from ely number is 07 ##21 ##41 ##10 ##59 ##9                      

 Dialogue Num: 218 ||| Ground Truth [2], Predicted Label 6, Attention Words: 07 ##10 <PAD> | the train should leave on tuesday and should go to cambridge and arrive by 101 ##5 is 07 ##21 ##41 ##10 ##59 ##9                      

 Dialogue Num: 218 ||| Ground Truth [2 4], Predicted Label 6, Attention Words: ##10 arrives <PAD> | the tr ##86 ##85 arrives by 55 ##2 and costs 440 pounds can i book some seats for you ##41 ##10 ##59 ##9                      

 Dialogue Num: 218 ||| Ground Truth [2], Predicted Label 7, Attention Words: <PAD> <PAD> <PAD> | please for 8 people                      

 Dialogue Num: 218 ||| Ground Truth [2 4], Predicted Label 4, Attention Words: booking fee was | your booking was successful the total fee is 352 gb ##p pounds pay ##able at the station and your reservation number is 1 ##ob                      

 Dialogue Num: 218 ||| Ground Truth [2 4], Predicted Label 5, Attention Words: reservation you is | great thank you i also am looking for some place to go in the centre of town your reservation number is 1 ##ob                      

 Dialogue Num: 218 ||| Ground Truth [2 4], Predicted Label 7, Attention Words: number town <PAD> | the broughton house gallery is located at 98 king st and has free admission of town your reservation number is 1 ##ob                      

 Dialogue Num: 218 ||| Ground Truth [2 4], Predicted Label 4, Attention Words: see address you | thank you that sounds fine i see you have included the address and the entrance fee that ##s all i need thanks very much                      

 Dialogue Num: 219 ||| Ground Truth [5], Predicted Label 3, Attention Words: address the i | i need to find a cheap place to eat the address and the entrance fee that ##s all i need thanks very much                      

 Dialogue Num: 219 ||| Ground Truth [2 5], Predicted Label 0, Attention Words: are entrance that | i can find that for you what cuisine are you interested in the entrance fee that ##s all i need thanks very much                      

 Dialogue Num: 219 ||| Ground Truth [5], Predicted Label 3, Attention Words: in fee please | we would prefer vietnamese please in the west area interested in the entrance fee that ##s all i need thanks very much                      

 Dialogue Num: 219 ||| Ground Truth [2 5], Predicted Label 3, Attention Words: called i all | there is a restaurant called than ##h bin ##h would you like me to book a table all i need thanks very much                      

 Dialogue Num: 219 ||| Ground Truth [5], Predicted Label 3, Attention Words: for i at | yes i would like a table for 7 people on monday at 131 ##5 a table all i need thanks very much                      

 Dialogue Num: 219 ||| Ground Truth [2 5], Predicted Label 3, Attention Words: at all need | booking was unsuccessful do you have any other preference monday at 131 ##5 a table all i need thanks very much                      

 Dialogue Num: 219 ||| Ground Truth [5], Predicted Label 3, Attention Words: monday preference 121 | can you try 121 ##5 on monday preference monday at 131 ##5 a table all i need thanks very much                      

 Dialogue Num: 219 ||| Ground Truth [2 5], Predicted Label 4, Attention Words: been reference set | your reservation has been set for monday at 121 ##5 for 7 people the reference number is 3 ##mt ##l ##q ##cb ##a can                      

 Dialogue Num: 219 ||| Ground Truth [2 5], Predicted Label 4, Attention Words: reference leaving thank | thank you i also need a train on tuesday leaving after 1730 the reference number is 3 ##mt ##l ##q ##cb ##a can                      

 Dialogue Num: 219 ||| Ground Truth [2 5], Predicted Label 0, Attention Words: ##a <PAD> me | i would be happy to help with that can you tell me the departure city and where you are going ##cb ##a can                      

 Dialogue Num: 219 ||| Ground Truth [2 5], Predicted Label 6, Attention Words: can ##cb <PAD> | i am leaving from cambridge and headed to steven ##age i would like to leave after 1730 please going ##cb ##a can                      

 Dialogue Num: 219 ||| Ground Truth [2 5], Predicted Label 6, Attention Words: ##cb can <PAD> | alright tr ##66 ##9 ##2 looks like your best bet would you like me to book you passage going ##cb ##a can                      

 Dialogue Num: 219 ||| Ground Truth [2 5], Predicted Label 0, Attention Words: ##a <PAD> you | yes please book that for me thanks so much would you like me to book you passage going ##cb ##a can                      

 Dialogue Num: 219 ||| Ground Truth [2 5], Predicted Label 6, Attention Words: <PAD> you ##a | how many tickets would you like me to book would you like me to book you passage going ##cb ##a can                      

 Dialogue Num: 219 ||| Ground Truth [2 5], Predicted Label 6, Attention Words: <PAD> can like | just one ticket please like me to book would you like me to book you passage going ##cb ##a can                      

 Dialogue Num: 219 ||| Ground Truth [2 5], Predicted Label 4, Attention Words: the booked reference | iv ##e booked that ticket for you the reference number is ft ##l ##hur ##x ##q and the total fee is 128 gb ##p                      

 Dialogue Num: 219 ||| Ground Truth [2 5], Predicted Label 4, Attention Words: the number gb | thank you what is the arrival time reference number is ft ##l ##hur ##x ##q and the total fee is 128 gb ##p                      

 Dialogue Num: 219 ||| Ground Truth [2 5], Predicted Label 6, Attention Words: and minutes <PAD> | the travel time is 49 minutes would you like to know any more info ##q and the total fee is 128 gb ##p                      

 Dialogue Num: 219 ||| Ground Truth [2 5], Predicted Label 6, Attention Words: the and fee | can you tell me when that train will be arriving in steven ##age ##q and the total fee is 128 gb ##p                      

 Dialogue Num: 219 ||| Ground Truth [2 5], Predicted Label 6, Attention Words: and is total | certainly the train will arrive at 2010 can i help you with anything else ##q and the total fee is 128 gb ##p                      

 Dialogue Num: 219 ||| Ground Truth [2 5], Predicted Label 6, Attention Words: else the help | i think that about does it thanks for the help today anything else ##q and the total fee is 128 gb ##p                      

 Dialogue Num: 220 ||| Ground Truth [0], Predicted Label 5, Attention Words: and war hotel | i would like to find some info on the war ##k ##worth house hotel ##q and the total fee is 128 gb ##p                      

 Dialogue Num: 220 ||| Ground Truth [0 3 4], Predicted Label 4, Attention Words: east guest is | war ##k ##worth house is a guest ##house hotel located in the east it is a moderately priced 4 star hotel the war ##k                      

 Dialogue Num: 220 ||| Ground Truth [0], Predicted Label 2, Attention Words: it moderately war | i am looking to book at the war ##k ##worth hotel east it is a moderately priced 4 star hotel the war ##k                      

 Dialogue Num: 220 ||| Ground Truth [0 3 4], Predicted Label 2, Attention Words: ##worth is it | what day will you be coming in ##k ##worth hotel east it is a moderately priced 4 star hotel the war ##k                      

 Dialogue Num: 220 ||| Ground Truth [0], Predicted Label 2, Attention Words: it a i | i need it for 4 people for 2 nights starting monday east it is a moderately priced 4 star hotel the war ##k                      

 Dialogue Num: 220 ||| Ground Truth [0 3 4], Predicted Label 4, Attention Words: war ##k the | you are all set the reference number is s ##42 ##un ##z ##j ##v can i help with anything else the war ##k                      

 Dialogue Num: 220 ||| Ground Truth [0], Predicted Label 2, Attention Words: ##k i anything | could you provide me with the address of the war ##k ##worth house can i help with anything else the war ##k                      

 Dialogue Num: 220 ||| Ground Truth [0 3 4], Predicted Label 2, Attention Words: war is ##ee | yes the address is war ##k ##worth terrace cb ##11 ##ee is there anything else i can find for you the war ##k                      

 Dialogue Num: 220 ||| Ground Truth [0 4], Predicted Label 7, Attention Words: ##k anything there | i would like some information about the museum of classical archaeology there anything else i can find for you the war ##k                      

 Dialogue Num: 220 ||| Ground Truth [0 3 4], Predicted Label 0, Attention Words: <PAD> of else | what information are you looking for museum of classical archaeology there anything else i can find for you the war ##k                      

 Dialogue Num: 220 ||| Ground Truth [0 4], Predicted Label 0, Attention Words: <PAD> archaeology else | just the post ##code and entrance fee please classical archaeology there anything else i can find for you the war ##k                      

 Dialogue Num: 220 ||| Ground Truth [0 3 4], Predicted Label 0, Attention Words: ##k <PAD> cb | they offer free admission to the museum the post ##code is cb ##39 ##da anything else i can do for you war ##k                      

 Dialogue Num: 220 ||| Ground Truth [0 4], Predicted Label 7, Attention Words: ##code <PAD> <PAD> | no that will be all thank you post ##code is cb ##39 ##da anything else i can do for you war ##k                      

 Dialogue Num: 221 ||| Ground Truth [0], Predicted Label 2, Attention Words: ##da <PAD> you | i need to know more about the alexander bed and breakfast ##39 ##da anything else i can do for you war ##k                      

 Dialogue Num: 221 ||| Ground Truth [0 5], Predicted Label 4, Attention Words: and is rated | alexander b and b is one of our higher rated guest ##houses in the centre of town it is 4 stars but is surprisingly                      

 Dialogue Num: 221 ||| Ground Truth [0], Predicted Label 2, Attention Words: but is <PAD> | i would like to make a booking for book it for 5 people and 3 nights starting from wednesday stars but is surprisingly                      

 Dialogue Num: 221 ||| Ground Truth [0 5], Predicted Label 7, Attention Words: book is surprisingly | yes i can book it now for book it for 5 people and 3 nights starting from wednesday stars but is surprisingly                      

 Dialogue Num: 221 ||| Ground Truth [0], Predicted Label 2, Attention Words: 5 is <PAD> | is there a reference number associated with the booking for 5 people and 3 nights starting from wednesday stars but is surprisingly                      

 Dialogue Num: 221 ||| Ground Truth [0 5], Predicted Label 4, Attention Words: ##2 you the | hi im the supervisor i have taken over for the rep my apologies you booking is set the reference number is v ##y ##2                      

 Dialogue Num: 221 ||| Ground Truth [0 5], Predicted Label 3, Attention Words: ##y i 1645 | i need information on india house a restaurant i need to book for 5 people at 1645 for wednesday please v ##y ##2                      

 Dialogue Num: 221 ||| Ground Truth [0 5], Predicted Label 4, Attention Words: number its 01 | its an expensive indian restaurant in the west part of town at 31 new ##nham road new ##nham their phone number is 01 ##22                      

 Dialogue Num: 221 ||| Ground Truth [0 5], Predicted Label 4, Attention Words: part phone <PAD> | great thanks for all your help west part of town at 31 new ##nham road new ##nham their phone number is 01 ##22                      

 Dialogue Num: 221 ||| Ground Truth [0 5], Predicted Label 4, Attention Words: 31 road is | yeah anytime let us know if you need anything else at 31 new ##nham road new ##nham their phone number is 01 ##22                      

 Dialogue Num: 221 ||| Ground Truth [0 5], Predicted Label 2, Attention Words: new at new | thank you that is all i need today else at 31 new ##nham road new ##nham their phone number is 01 ##22                      

 Dialogue Num: 222 ||| Ground Truth [3], Predicted Label 5, Attention Words: their sometime phone | hi i need to book a taxi please i need to leave sometime after 103 ##0 ##nham their phone number is 01 ##22                      

 Dialogue Num: 222 ||| Ground Truth [3], Predicted Label 0, Attention Words: ##22 <PAD> like | i would love to help you with that where would you like to be picked up and where are you going 01 ##22                      

 Dialogue Num: 222 ||| Ground Truth [3], Predicted Label 5, Attention Words: <PAD> going <PAD> | i would like to be picked up at the cambridge bel ##fy and go to the cambridge shop you going 01 ##22                      

 Dialogue Num: 222 ||| Ground Truth [3], Predicted Label 0, Attention Words: 01 <PAD> going | im sorry are you going to the cambridge chop house or did you mean the cambridge shop you going 01 ##22                      

 Dialogue Num: 222 ||| Ground Truth [3], Predicted Label 3, Attention Words: 01 <PAD> ##22 | the chop house going to the cambridge chop house or did you mean the cambridge shop you going 01 ##22                      

 Dialogue Num: 222 ||| Ground Truth [3], Predicted Label 4, Attention Words: contact ##37 booked | i have you booked a yellow lex ##us will pick you up at 103 ##0 the contact number is 07 ##46 ##37 ##7 ##8                      

 Dialogue Num: 222 ||| Ground Truth [3], Predicted Label 6, Attention Words: contact reservation the | im sorry i need to leave after 103 ##0 could you change the reservation the contact number is 07 ##46 ##37 ##7 ##8                      

 Dialogue Num: 222 ||| Ground Truth [3], Predicted Label 5, Attention Words: is <PAD> black | yes i have you arranged to be picked up by a black honda at 104 ##5 number is 07 ##46 ##37 ##7 ##8                      

 Dialogue Num: 222 ||| Ground Truth [3], Predicted Label 0, Attention Words: 07 honda <PAD> | that ##s perfect thank you for all of your help black honda at 104 ##5 number is 07 ##46 ##37 ##7 ##8                      

 Dialogue Num: 223 ||| Ground Truth [5], Predicted Label 7, Attention Words: number 07 in | i am looking for a restaurant in the centre that serves modern european food ##5 number is 07 ##46 ##37 ##7 ##8                      

 Dialogue Num: 223 ||| Ground Truth [5], Predicted Label 3, Attention Words: would ##46 food | there are 4 matching restaurants what price range would you like european food ##5 number is 07 ##46 ##37 ##7 ##8                      

 Dialogue Num: 223 ||| Ground Truth [5], Predicted Label 3, Attention Words: is 07 ##5 | i would like one in the expensive price range please european food ##5 number is 07 ##46 ##37 ##7 ##8                      

 Dialogue Num: 223 ||| Ground Truth [5], Predicted Label 5, Attention Words: 07 ##8 ##rys | dar ##rys cook ##house and wine shop would suit your interests its at 402 ##70 king street is 07 ##46 ##37 ##7 ##8                      

 Dialogue Num: 223 ||| Ground Truth [5], Predicted Label 3, Attention Words: ##46 ##70 for | do they have booking available for 7 people at 1630 on tuesday 402 ##70 king street is 07 ##46 ##37 ##7 ##8                      

 Dialogue Num: 223 ||| Ground Truth [5], Predicted Label 4, Attention Words: 07 ##46 restaurant | there does not appear to be availability at that time would you like me to try another restaurant 07 ##46 ##37 ##7 ##8                      

 Dialogue Num: 223 ||| Ground Truth [5], Predicted Label 7, Attention Words: in ##37 ##46 | is there another restaurant in the area in that price range that is available at that time 07 ##46 ##37 ##7 ##8                      

 Dialogue Num: 223 ||| Ground Truth [5], Predicted Label 4, Attention Words: your for 15 | ok i got you a table at the bed ##ouin the table will be reserved for 15 minutes your reference number is q ##7                      

 Dialogue Num: 223 ||| Ground Truth [5], Predicted Label 7, Attention Words: bed 15 be | no thanks thank you and goodbye the bed ##ouin the table will be reserved for 15 minutes your reference number is q ##7                      

 Dialogue Num: 224 ||| Ground Truth [4], Predicted Label 0, Attention Words: your the 15 | are there any entertainment places in the east ##ouin the table will be reserved for 15 minutes your reference number is q ##7                      

